"","1","(Intercept)","I(prbpris^2)","I(sqrt(density))","I(sqrt(wser))","wtrd","I(wtrd^2)","area","area:polpc","area:density"
"30",30,0.94,0.92,0.96,0.94,0.96,0.94,0.96,0.95,0.97
"5030",5030,0.96,0.98,0.97,0.97,0.96,0.95,0.99,0.98,0.97
"10030",10030,0.98,0.97,0.93,0.91,0.96,0.96,0.93,0.98,0.95
"15030",15030,0.96,0.96,0.91,0.95,0.97,0.94,0.94,0.96,0.95
"20030",20030,0.94,0.95,0.95,0.91,0.91,0.9,0.96,0.96,0.95
"25030",25030,0.94,0.92,0.96,0.95,0.95,0.95,0.92,0.93,0.96
"30030",30030,0.97,0.97,0.97,0.97,0.95,0.96,0.95,0.98,0.95
"35030",35030,0.95,0.96,0.95,0.97,0.97,0.98,0.96,0.93,0.97
"40030",40030,0.92,0.96,0.98,0.96,0.93,0.92,0.95,0.93,0.96
"45030",45030,0.94,0.97,0.95,0.92,0.93,0.93,0.98,0.94,0.93
"50030",50030,0.91,0.96,0.95,0.94,0.91,0.93,0.95,0.95,0.91
"55030",55030,0.98,0.95,0.91,0.92,0.96,0.97,0.97,0.94,0.9
"60030",60030,0.95,0.91,0.92,0.97,0.94,0.93,0.95,0.94,0.93
"65030",65030,0.94,0.94,0.98,0.93,0.94,0.95,0.92,0.95,0.97
"70030",70030,0.94,0.98,0.98,0.95,0.93,0.93,0.95,0.99,0.96
"75030",75030,0.93,0.94,0.92,0.93,0.95,0.94,0.96,0.97,0.93
"80030",80030,0.92,1,0.95,0.95,0.94,0.93,0.95,0.95,0.95
"85030",85030,0.97,0.99,0.94,0.93,0.93,0.94,0.95,0.95,0.94
"90030",90030,0.98,0.97,0.97,0.94,0.98,0.99,0.98,0.97,0.97
"95030",95030,0.96,0.95,0.96,0.97,0.94,0.94,0.96,0.96,0.96
"100030",100030,0.96,0.97,0.94,0.93,0.96,0.94,0.95,0.92,0.96
